,taxi_id,traj_id,path,length
132,196,69,"[766116624, 766116624, 133733590, 766116625, 766116625, 8918656, 8918656, 8918656, 328876704, 736374827, 736374827, 88572948, 88572948, 88572948, 88572948, 88572948, 706532925, 706532925, 8919328, 8919328]",20
133,155,416,"[225806055, 934194966, 934194966, 934194966, 283534317, 283534317, 283534317, 1053833922, 397145820, 397145820, 397145821, 397145821]",12
134,409,598,"[87554989, 396987787, 396987787, 513962743, 513962743, 513962742, 513962742]",7
135,166,234,"[106963928, 106963928, 254968939, 254968939]",4
136,373,334,"[397145255, 397145255, 397145255, 397145255, 397145255, 408600296, 417396782, 417396782, 107674371, 107674371, 107674371, 107674371, 513706523, 513706523, 1035911409, 1035911409]",16
137,165,941,"[286003244, 286003244, 286003244, 286003244, 286003244, 1041351160, 1041351161, 29023741, 29023741, 29023741, 287958606, 287958606, 8917946, 8917946, 8917946, 1041351162, 329596844, 329596844, 329596844]",19
138,289,388,"[225806056, 225806056, 777343790, 777343790, 225806055, 934194966, 934194966, 934194966, 86334994, 86334994, 86334994, 86334994, 86334994, 86334994, 88572965, 88572965, 1120283630, 1120283629, 1120283629]",19
139,527,1049,"[144346316, 26988009, 26988009, 26988009, 26988009, 26988009, 26988009, 26988009, 26988009, 968937454, 968937454, 254758122]",12
140,231,1080,"[527829975, 527829975, 527829973, 527829973, 527829973, 527829973, 477214641, 477214641, 477214641, 477214641, 477214641, 477214641, 414960395, 527829963, 527829963]",15
141,265,864,"[514729106, 514729106, 514412270, 514412270, 739601038]",5
142,488,1565,"[23880808, 23880808, 1050293955, 397082296, 397082296, 417106087, 84733316, 84733316, 23887553, 1050259220, 86336709, 86336709, 86336709, 1101488496]",14
143,113,23,"[215848123, 468000213, 468000213, 468000213, 468000212, 468000212, 468000212, 468000212, 158468722, 158468722, 158468722, 158468722, 396966240]",13
144,257,698,"[27166421, 27166421, 27166421, 27166421, 27166421, 27166421]",6
145,32,209,"[619568405, 619568405, 396937569, 396937569, 255330047, 255330047, 396945238, 396945238, 396945238, 30454437, 30454437]",11
146,368,174,"[408572569, 397136324, 397136324, 25372932, 25372932, 25372932, 25372932, 25372932, 25372932, 25372932, 25372932, 25372932, 288065246, 288065246, 288065246, 288065246, 254758127, 254758127, 254758127, 254758127]",20
147,346,518,"[514683825, 514681344, 514681344, 514681344, 985061724, 985061724, 985061724, 985061719, 985061719, 514681343, 885500679, 87559142, 8921633]",13
148,159,85,"[254297759, 254297759, 1111706290]",3
149,358,987,"[27054213, 1126161508]",2
150,393,1084,"[1032777737, 1032777737, 1032777737, 1032777738, 1112271472, 1032777739, 440486297, 440486297, 1032777740, 968937449, 417101716, 417101714, 417101714, 417101714]",14
151,78,838,"[408575054, 397269730, 397269730, 406944779, 406944779, 287958606, 287958606, 287958606, 287958606, 287958606, 287958607, 287958607, 287958607, 1112996372, 513676823, 706543479]",16
152,325,193,"[397104880, 1166095110, 1166095110, 1166095110, 1166095110, 397144264, 397144264, 397144264, 397144265, 397144265, 1111450276, 1021093206, 397144001]",13
153,513,108,"[30035754, 86303769, 86303769, 86303769, 86331216, 86331216, 513971227, 619378867, 27398072, 27398072, 27398071, 27398071]",12
154,131,160,"[288265975, 288265975, 27054184, 27054184, 27054184, 706549349, 706549349, 30029846, 30029846, 775083030, 775083030, 30029867, 30029867, 30029867, 706549350, 706549350, 706549350, 706549350]",18
155,10,304,"[514681343, 885500679, 87559142, 514674174, 254448242, 254448244, 985061715, 985061712]",8
156,446,886,"[762951374, 762951374, 762951374, 970578569, 970578569, 970578569, 970578569, 970578569]",8
157,178,433,"[27167713, 27167713, 1123730388, 970239611, 781807339, 781807337, 781807337, 44671299]",8
158,193,515,"[919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 919204678, 91011088, 91011088, 91011088]",16
159,59,1738,"[255330035, 255330035, 255330035, 255330035, 706545922, 706545922, 706545922, 706545922, 1050287140, 1050287139, 1050287139]",11
160,489,1212,"[681971883, 228352012, 514598268, 27147677, 27147677, 27147677]",6
161,441,2181,"[1120144354, 502795941, 502795941, 771447982, 771447982, 771447982, 766798667, 766798667, 513870421, 513870421, 766798665, 766798665, 766798665, 277451475, 277451475, 277451475]",16
162,159,1031,"[45310302, 45310287, 23761281]",3
163,155,402,"[191296172, 191296172, 721725415, 617990572, 617990572, 706552278, 706552278, 706552278, 721725416, 721725416, 721725416, 617990573, 617990573, 617990568, 617990568, 617268038]",16
164,79,370,"[28738276, 28738276, 28738276, 28738276, 1047613735, 1047613735, 1047613735, 87297165, 87297165, 87297165, 133781783, 133781783, 133781783, 133781783, 425516688, 425516688, 225847502, 225847502, 91185847]",19
165,489,464,"[397145034, 1136702061, 1136702061, 254759933, 254759933, 254759933, 254759933, 1083936405, 225853133, 225853133, 563926234, 563926234, 563926233, 563926233]",14
166,208,376,"[290052332, 290052332, 981636498, 981636498, 981636498, 89782522, 89782522, 1024537343, 225806056, 225806056, 777343790, 777343790, 225806055]",13
167,376,72,"[224316527, 224316527, 945294696, 945294696, 945294697, 8920734, 8920734, 680243311, 680243311, 772536173, 772536173, 133733593, 133733593]",13
168,208,205,"[1050287139, 1050287139, 706545923, 706545923, 706545923]",5
169,303,100,"[681971888, 1071617892, 1071617892, 228354675, 437935567, 437935567, 148899887, 681971890, 654215716, 654215716, 676714182, 154648028, 676714183, 676714183, 417384003, 513903704, 681971892, 255351722]",18
170,511,93,"[742702373, 175507523, 1111954648, 417101699, 417101699, 91181770, 91181770, 91181770, 408600295, 408600295, 513707472, 513707472, 513707467, 468201422, 468201422, 468201422, 468201422, 514170580]",18
171,447,204,"[60949899, 1039057816, 1053810141, 686250327, 686250327]",5
172,274,1131,"[48208467, 513667618, 513667626, 397126196, 397126196, 48208466, 255178135, 48208461, 539148209, 469399623, 539253428, 133748412, 8916983, 8916983, 8916983, 417976234, 397099381]",17
173,485,183,"[968937448, 968937447, 968937447, 968937447, 968937447, 968937447, 254758128, 254758128, 1035093273, 254448247, 254448247, 254448247, 30832507, 30832507]",14
174,431,249,"[679783239, 679783240, 564220003, 564220003, 564220003, 564220003, 620740190, 620740190, 287303398, 396987217, 32199488, 32199498]",12
175,72,1132,"[216881162, 930612073, 216881164, 216881165]",4
